edad,prefiere_tipo,nivel_actividad,vive_en_departamento,acompañante,tiempo_libre,ingresos_mensuales,adopta
31,ambos,medio,1,solo,3.3,1572.0,1
26,gato,alto,0,familia,4.1,3500.0,1
43,gato,bajo,0,familia,3.9,1820.0,0
19,ambos,medio,1,familia,2.0,2103.0,1
37,perro,bajo,1,familia,1.9,1046.0,0
45,ambos,medio,1,solo,2.3,2201.0,0
64,gato,medio,1,familia,4.0,614.0,1
24,perro,medio,0,familia,1.4,2486.0,0
61,gato,medio,0,solo,3.4,2507.0,1
25,ambos,medio,1,familia,3.4,2952.0,1
64,perro,bajo,1,solo,4.2,1286.0,1
52,ambos,medio,0,familia,3.2,2112.0,1
31,ambos,bajo,1,amigo,1.7,,0
34,perro,alto,1,solo,2.0,2310.0,1
53,ambos,alto,1,amigo,1.8,,0
57,perro,alto,1,amigo,2.5,326.0,0
21,perro,alto,0,solo,2.8,2243.0,1
19,perro,medio,1,solo,1.8,1893.0,0
23,ambos,alto,1,solo,4.5,1603.0,1
59,gato,bajo,1,amigo,1.7,2535.0,1
21,perro,medio,0,familia,4.3,1969.0,1
46,gato,medio,1,familia,4.2,1077.0,1
35,gato,medio,0,amigo,3.9,,0
43,perro,alto,0,familia,2.3,1210.0,0
61,ambos,bajo,1,solo,3.3,3675.0,1
51,ambos,medio,0,familia,1.7,2506.0,1
27,gato,alto,1,solo,3.9,2132.0,1
53,ambos,bajo,0,solo,2.9,1873.0,1
31,gato,medio,1,amigo,2.6,1827.0,1
48,ambos,alto,0,solo,1.8,,0
32,gato,medio,0,familia,0.5,1657.0,0
25,gato,medio,0,familia,2.0,2404.0,0
31,perro,bajo,1,solo,4.1,,1
40,ambos,medio,1,solo,2.6,3358.0,1
57,gato,alto,0,familia,2.8,2520.0,1
38,perro,medio,1,familia,3.7,2872.0,1
33,perro,medio,1,solo,4.8,1591.0,1
62,gato,bajo,1,solo,4.3,2741.0,1
35,gato,bajo,0,amigo,2.0,1781.0,0
64,ambos,alto,1,amigo,1.1,2077.0,1
41,ambos,medio,0,solo,5.4,3145.0,1
43,perro,medio,0,solo,5.3,1270.0,1
42,ambos,bajo,1,familia,3.2,2142.0,1
62,perro,medio,1,amigo,1.7,2307.0,1
58,ambos,alto,0,familia,4.0,2364.0,1
46,ambos,medio,0,familia,2.9,1684.0,0
32,gato,bajo,1,familia,2.9,3460.0,1
62,ambos,medio,1,solo,3.9,1094.0,1
18,perro,alto,0,familia,3.3,3021.0,1
42,gato,medio,1,solo,1.8,,1
24,ambos,alto,0,amigo,2.7,3331.0,1
26,gato,medio,0,solo,3.7,888.0,1
41,perro,alto,1,solo,3.5,,1
18,gato,medio,0,familia,3.3,3044.0,1
61,ambos,bajo,0,familia,3.9,686.0,1
25,perro,medio,1,solo,2.6,875.0,1
41,perro,bajo,1,amigo,3.2,,1
28,ambos,alto,0,solo,0.0,2134.0,1
34,ambos,alto,1,solo,2.6,3115.0,1
25,perro,medio,1,familia,3.8,1870.0,1
52,perro,medio,0,solo,2.6,1574.0,0
52,perro,bajo,1,familia,2.5,2218.0,0
50,perro,alto,0,solo,2.0,2329.0,1
22,gato,medio,1,amigo,4.0,2309.0,1
59,ambos,bajo,1,amigo,3.5,1875.0,1
56,gato,medio,1,solo,3.8,631.0,1
58,gato,bajo,0,solo,1.3,,0
45,perro,medio,1,familia,2.8,2994.0,0
24,ambos,medio,1,familia,2.7,2131.0,0
26,gato,bajo,0,solo,2.7,1774.0,0
25,ambos,alto,0,amigo,2.4,2783.0,1
29,gato,bajo,0,solo,2.7,,0
51,perro,bajo,1,solo,3.8,1842.0,1
50,gato,bajo,1,solo,1.1,2096.0,1
40,perro,alto,0,solo,4.8,1691.0,1
41,gato,medio,1,familia,3.5,,1
54,perro,medio,1,familia,3.0,1869.0,1
52,perro,bajo,1,familia,3.9,1020.0,1
61,ambos,bajo,0,amigo,1.5,2127.0,0
57,perro,medio,1,familia,2.3,1070.0,0
39,ambos,alto,0,amigo,2.9,2116.0,1
44,perro,alto,0,amigo,4.4,2962.0,1
52,gato,bajo,1,familia,3.0,1803.0,1
18,gato,medio,0,amigo,3.5,1180.0,0
52,gato,alto,0,solo,2.4,1911.0,1
54,perro,medio,0,familia,3.5,1418.0,1
64,perro,alto,0,familia,4.7,2416.0,1
31,perro,bajo,0,familia,4.0,1896.0,1
20,perro,alto,1,amigo,2.9,3197.0,1
18,gato,alto,0,amigo,3.7,2814.0,1
22,ambos,alto,0,familia,3.6,1893.0,1
43,ambos,medio,0,solo,3.5,2501.0,1
31,ambos,medio,1,amigo,4.1,1725.0,1
56,ambos,alto,1,solo,4.1,2024.0,1
44,gato,bajo,0,amigo,2.9,1747.0,0
26,perro,medio,1,amigo,3.6,2537.0,1
32,ambos,alto,0,solo,2.6,3003.0,1
32,gato,alto,0,solo,2.1,2559.0,1
43,gato,alto,0,amigo,2.7,,0
59,perro,bajo,0,solo,2.9,2646.0,1
30,gato,alto,0,solo,1.3,,0
49,gato,alto,1,familia,3.9,1202.0,1
56,ambos,bajo,0,solo,0.2,3191.0,0
49,gato,medio,1,solo,5.7,3263.0,1
21,perro,bajo,0,familia,4.5,1836.0,1
47,ambos,medio,0,solo,2.7,1741.0,0
54,perro,alto,1,solo,3.0,2429.0,1
40,gato,medio,1,amigo,3.3,2386.0,1
56,perro,alto,0,familia,2.4,1859.0,1
62,ambos,alto,1,familia,3.2,1125.0,1
32,ambos,medio,0,familia,2.9,2214.0,0
60,perro,alto,0,familia,2.9,2386.0,1
46,ambos,medio,0,solo,3.2,2508.0,1
53,perro,alto,0,solo,1.7,2245.0,1
30,ambos,bajo,0,solo,3.0,1810.0,1
49,ambos,alto,0,solo,3.2,2696.0,1
24,ambos,bajo,1,familia,3.1,2046.0,1
39,perro,medio,0,amigo,2.8,1675.0,0
45,ambos,alto,1,solo,4.1,1874.0,1
19,ambos,medio,0,familia,2.6,778.0,1
59,perro,medio,1,solo,3.2,1872.0,1
62,ambos,medio,1,solo,4.3,2482.0,1
23,perro,alto,0,amigo,2.9,2238.0,1
45,ambos,bajo,0,solo,3.2,3064.0,1
45,perro,bajo,1,solo,2.9,1816.0,0
61,ambos,bajo,1,solo,4.2,2341.0,1
61,gato,medio,0,solo,2.7,2555.0,0
37,perro,bajo,0,familia,4.3,3640.0,1
47,perro,medio,1,familia,2.9,2101.0,0
28,perro,medio,0,solo,2.1,1269.0,0
45,gato,bajo,1,solo,3.7,2594.0,1
42,perro,medio,0,familia,2.7,3306.0,1
56,gato,alto,0,familia,3.6,1774.0,1
50,perro,bajo,1,solo,0.3,2589.0,0
18,perro,medio,1,solo,3.0,2860.0,1
44,ambos,medio,0,familia,2.5,2712.0,1
30,perro,medio,1,amigo,1.9,2088.0,0
58,ambos,alto,1,solo,2.4,1511.0,1
20,ambos,medio,1,amigo,2.4,1943.0,1
56,gato,medio,0,solo,3.0,2321.0,0
23,gato,bajo,1,amigo,1.6,2636.0,1
25,ambos,medio,1,amigo,3.3,,1
44,perro,medio,1,familia,4.4,1734.0,1
26,perro,bajo,1,solo,3.3,2389.0,1
54,perro,medio,0,solo,3.8,2602.0,1
50,ambos,alto,1,solo,4.1,2266.0,1
59,perro,medio,1,familia,4.2,1415.0,1
61,gato,medio,0,solo,4.9,1873.0,0
41,ambos,alto,1,solo,2.5,2663.0,1
32,ambos,alto,0,solo,2.3,1032.0,1
49,gato,medio,1,familia,3.8,535.0,1
49,perro,alto,0,solo,3.7,3056.0,1
41,ambos,alto,1,solo,3.8,2358.0,1
58,gato,medio,1,solo,4.9,2425.0,1
29,perro,medio,1,familia,3.0,1246.0,1
56,perro,medio,1,amigo,3.4,2516.0,1
19,ambos,alto,1,familia,2.0,2193.0,1
20,gato,medio,0,familia,5.1,891.0,0
54,ambos,bajo,1,familia,2.7,2997.0,0
34,ambos,alto,1,solo,2.7,2111.0,1
19,gato,medio,1,familia,2.7,1723.0,1
19,gato,bajo,0,solo,2.4,1735.0,0
45,gato,medio,1,solo,2.3,589.0,1
40,perro,medio,1,familia,2.5,2415.0,0
54,gato,alto,1,solo,1.6,,1
49,ambos,bajo,0,solo,2.2,1864.0,0
50,gato,alto,0,solo,4.9,2895.0,1
18,ambos,medio,1,amigo,3.7,1031.0,1
36,gato,bajo,0,solo,3.9,1582.0,0
19,gato,alto,1,familia,4.2,1405.0,1
61,gato,medio,0,familia,4.8,1805.0,0
43,gato,bajo,1,amigo,1.2,2047.0,1
49,ambos,medio,0,solo,1.8,2301.0,0
23,perro,alto,1,familia,2.2,,0
49,gato,medio,1,solo,2.5,1386.0,1
21,perro,bajo,0,solo,2.7,3180.0,0
28,perro,bajo,0,solo,2.6,3688.0,1
34,gato,bajo,0,amigo,3.2,2100.0,0
55,gato,alto,1,solo,3.0,,1
41,ambos,medio,1,solo,2.3,3033.0,1
22,gato,bajo,1,solo,0.8,987.0,1
51,ambos,bajo,1,solo,2.0,1766.0,0
23,gato,medio,1,amigo,2.5,1513.0,1
39,gato,alto,0,familia,2.8,1188.0,0
28,perro,medio,0,familia,1.9,1804.0,0
33,perro,alto,0,solo,2.5,1395.0,0
50,perro,medio,1,solo,1.9,2009.0,0
26,gato,bajo,1,familia,2.9,2019.0,1
23,perro,alto,0,solo,1.9,1565.0,1
33,perro,medio,1,familia,2.2,1741.0,0
46,perro,alto,1,solo,1.7,1838.0,1
20,ambos,alto,1,familia,2.8,2567.0,1
37,perro,bajo,0,solo,2.1,1896.0,0
53,gato,bajo,0,solo,3.9,2577.0,1
36,perro,alto,1,familia,3.4,,1
43,gato,bajo,1,amigo,2.9,2400.0,1
20,perro,bajo,1,solo,2.2,2971.0,1
36,perro,bajo,0,amigo,3.4,1216.0,1
37,gato,bajo,0,familia,3.7,1669.0,0
49,perro,alto,1,solo,3.1,3234.0,1
24,perro,bajo,1,solo,4.6,1820.0,1
58,perro,medio,1,solo,3.5,29.0,1
50,perro,medio,1,solo,3.9,1858.0,1
57,perro,medio,0,amigo,3.1,2094.0,1
56,perro,bajo,1,solo,3.7,168.0,1
35,ambos,alto,1,solo,2.2,2934.0,1
57,gato,bajo,0,solo,2.5,1500.0,0
18,gato,alto,1,amigo,3.3,,1
28,perro,alto,0,solo,3.3,1842.0,1
45,ambos,medio,0,solo,3.5,1098.0,1
42,perro,medio,0,solo,4.1,1251.0,1
40,perro,medio,0,familia,1.6,1345.0,0
48,gato,medio,0,solo,2.0,2760.0,0
47,perro,alto,1,familia,3.2,1897.0,1
59,perro,alto,1,solo,2.3,1635.0,1
52,gato,medio,1,solo,6.4,1346.0,1
24,ambos,medio,0,amigo,3.5,2837.0,1
33,gato,alto,0,solo,2.9,3025.0,1
43,ambos,alto,1,familia,2.5,2829.0,1
19,ambos,medio,0,familia,2.5,2345.0,0
18,perro,medio,0,familia,3.0,,1
29,perro,bajo,1,amigo,3.1,1149.0,1
22,perro,alto,1,solo,2.5,1828.0,1
54,gato,bajo,1,solo,2.7,1521.0,1
49,gato,medio,1,familia,4.3,,1
26,ambos,bajo,0,amigo,4.4,2740.0,1
58,ambos,bajo,1,amigo,3.3,1513.0,1
52,gato,medio,0,solo,1.7,2837.0,0
36,perro,alto,1,solo,3.5,2617.0,1
33,ambos,bajo,0,familia,4.6,2390.0,1
20,ambos,medio,1,solo,4.4,,1
37,ambos,bajo,0,solo,3.7,1569.0,1
41,perro,bajo,1,solo,4.4,3300.0,1
50,gato,medio,1,familia,3.1,2030.0,1
41,perro,medio,1,solo,3.6,2211.0,1
28,perro,bajo,1,familia,2.3,1546.0,1
25,perro,medio,1,solo,3.3,1348.0,1
53,gato,bajo,1,familia,4.3,2334.0,1
55,gato,medio,1,familia,2.4,2152.0,1
57,perro,alto,1,solo,2.1,1447.0,0
37,perro,alto,1,amigo,3.1,,1
52,gato,medio,1,solo,2.8,1111.0,1
42,perro,medio,1,solo,3.6,2837.0,1
52,perro,alto,1,familia,2.5,1571.0,1
42,gato,bajo,1,solo,4.7,1763.0,1
46,ambos,alto,1,solo,1.7,3015.0,1
35,perro,alto,1,solo,4.3,1214.0,1
63,perro,bajo,0,solo,2.2,1491.0,0
35,perro,bajo,1,familia,1.2,1462.0,1
19,ambos,alto,1,solo,3.2,3133.0,1
52,gato,medio,1,familia,2.7,,1
33,gato,bajo,1,familia,1.9,,1
58,perro,bajo,0,solo,1.3,2548.0,0
53,gato,medio,1,solo,3.0,1594.0,1
50,perro,medio,1,familia,4.0,3363.0,1
21,gato,alto,1,solo,3.6,2187.0,1
50,ambos,alto,0,solo,3.1,,1
31,gato,bajo,1,solo,3.5,1926.0,1
38,ambos,medio,1,amigo,3.0,1812.0,1
37,ambos,medio,0,familia,1.6,3164.0,0
25,perro,medio,0,solo,1.6,,1
24,ambos,bajo,0,solo,2.8,3016.0,0
20,perro,alto,1,familia,2.8,,0
34,gato,alto,0,familia,3.9,1406.0,0
50,perro,medio,0,amigo,3.8,1592.0,1
29,perro,medio,1,familia,3.6,2072.0,1
39,gato,bajo,0,solo,2.7,1561.0,0
39,perro,medio,0,familia,1.6,1225.0,1
63,gato,medio,1,solo,3.4,2841.0,1
47,gato,medio,1,solo,3.5,1619.0,1
55,perro,alto,1,familia,0.6,2097.0,1
55,perro,medio,1,solo,2.2,2207.0,0
62,gato,medio,1,familia,2.3,1588.0,1
25,perro,alto,1,solo,3.1,3016.0,1
44,ambos,bajo,0,familia,2.2,1218.0,0
44,gato,medio,0,familia,3.0,2183.0,0
51,ambos,medio,1,solo,2.8,2172.0,1
38,gato,medio,0,familia,2.8,1962.0,0
47,gato,alto,1,solo,2.3,1092.0,1
50,gato,medio,1,familia,2.4,2610.0,1
45,perro,alto,0,solo,1.9,2520.0,1
64,perro,medio,0,familia,3.4,1527.0,1
50,ambos,medio,0,solo,3.6,2495.0,1
22,gato,alto,1,solo,2.2,2262.0,1
36,ambos,bajo,1,solo,4.5,,1
21,ambos,bajo,1,solo,2.7,1402.0,0
52,ambos,medio,0,familia,4.5,2797.0,1
34,ambos,bajo,1,amigo,2.4,2217.0,1
61,gato,bajo,1,amigo,1.0,1605.0,1
45,perro,medio,0,solo,3.4,,1
47,gato,medio,1,solo,3.2,1639.0,1
46,perro,medio,1,solo,3.0,1689.0,1
63,gato,alto,0,familia,2.4,1408.0,1
23,ambos,medio,1,familia,3.0,781.0,1
52,gato,alto,0,solo,2.5,2798.0,1
58,perro,bajo,1,solo,2.7,2679.0,0
54,perro,medio,0,solo,3.8,1109.0,1
41,gato,alto,1,amigo,3.2,2095.0,1
46,perro,medio,1,amigo,3.6,1368.0,1
63,ambos,alto,1,familia,2.8,,0
48,perro,medio,1,solo,2.7,1759.0,0
52,perro,bajo,1,familia,1.8,1701.0,0
50,perro,medio,1,amigo,2.6,3402.0,0
38,gato,medio,1,solo,0.0,1692.0,1
49,gato,alto,1,amigo,2.4,1434.0,1
40,perro,bajo,1,solo,2.9,1466.0,0
50,perro,alto,1,solo,3.6,2731.0,1
20,gato,alto,1,familia,2.7,844.0,1
35,perro,bajo,1,solo,3.3,1466.0,1
42,gato,medio,1,familia,0.8,3013.0,1
59,gato,alto,0,amigo,2.9,2171.0,1
48,perro,alto,0,solo,1.3,2134.0,1
20,perro,medio,0,amigo,1.8,3493.0,0
57,ambos,medio,1,amigo,2.8,2172.0,0
63,gato,medio,0,solo,4.3,1504.0,1
41,gato,medio,1,solo,3.4,1803.0,1
49,perro,bajo,1,solo,3.0,1205.0,1
64,gato,alto,0,solo,3.0,2879.0,1
39,perro,bajo,1,solo,2.3,2402.0,0
40,gato,bajo,0,solo,2.5,2787.0,0
19,ambos,medio,0,solo,3.4,2849.0,1
44,perro,medio,1,familia,1.6,1710.0,1
59,perro,medio,1,solo,3.6,1339.0,1
19,perro,medio,1,familia,2.6,1964.0,0
43,perro,medio,0,amigo,3.8,1389.0,1
34,perro,bajo,1,familia,4.0,,1
57,perro,medio,0,solo,1.3,2792.0,0
50,ambos,alto,0,familia,2.4,1882.0,1
26,gato,medio,0,amigo,2.1,2105.0,0
60,perro,medio,0,familia,1.2,1934.0,0
56,ambos,medio,0,solo,2.0,2562.0,0
46,perro,alto,0,solo,5.4,1533.0,1
59,ambos,bajo,1,amigo,3.6,462.0,1
43,perro,medio,0,solo,4.9,2330.0,1
52,ambos,alto,0,solo,3.8,2691.0,1
42,gato,medio,0,solo,2.3,2312.0,0
41,ambos,bajo,1,amigo,2.6,1552.0,0
30,ambos,medio,0,familia,3.6,,1
24,perro,bajo,1,solo,3.4,2346.0,1
53,ambos,medio,1,familia,2.4,2099.0,0
62,perro,alto,0,amigo,1.5,1912.0,1
37,perro,bajo,1,solo,6.3,3276.0,1
18,perro,alto,0,familia,2.9,1337.0,0
25,gato,bajo,1,familia,2.7,3243.0,1
63,perro,alto,1,familia,3.1,2022.0,1
33,gato,medio,0,solo,2.8,715.0,0
31,gato,bajo,0,amigo,3.1,,0
29,ambos,bajo,1,solo,4.3,,1
40,ambos,alto,1,solo,2.9,1744.0,1
32,gato,bajo,0,solo,1.8,968.0,0
45,perro,bajo,1,familia,2.8,1885.0,1
51,perro,medio,1,familia,2.5,1400.0,0
19,perro,medio,1,solo,4.4,2344.0,1
49,perro,medio,0,solo,4.2,2541.0,1
40,perro,bajo,1,familia,3.1,1261.0,1
39,perro,bajo,1,solo,1.7,1506.0,0
42,ambos,bajo,0,amigo,1.8,2530.0,0
39,gato,bajo,1,solo,3.0,1399.0,1
39,perro,medio,1,solo,3.3,1242.0,1
59,gato,alto,1,familia,2.6,1175.0,1
23,perro,bajo,0,solo,2.5,2246.0,0
32,gato,medio,1,solo,2.4,2216.0,1
60,gato,medio,0,solo,3.0,1521.0,1
54,gato,alto,1,familia,0.6,2004.0,1
50,gato,alto,0,familia,1.9,3069.0,1
25,ambos,alto,1,solo,2.4,,1
61,ambos,bajo,1,solo,4.2,634.0,1
61,gato,bajo,0,amigo,2.2,2319.0,0
22,gato,medio,1,solo,3.2,1923.0,1
56,gato,bajo,1,amigo,3.2,1503.0,1
21,perro,medio,0,solo,4.3,2456.0,1
23,perro,alto,1,solo,4.3,2587.0,1
62,perro,alto,1,amigo,2.9,454.0,1
49,gato,alto,0,solo,2.5,1543.0,1
47,gato,medio,0,familia,2.3,3622.0,0
64,perro,medio,0,solo,2.8,2408.0,1
52,ambos,medio,0,solo,2.6,2473.0,0
57,ambos,bajo,1,familia,3.6,2821.0,1
33,ambos,alto,0,solo,3.4,2012.0,1
30,gato,bajo,1,familia,3.6,2558.0,1
59,ambos,medio,1,solo,4.3,2503.0,1
47,perro,medio,0,amigo,4.9,2377.0,1
36,ambos,medio,1,familia,3.1,1775.0,1
34,perro,alto,1,solo,4.1,2120.0,1
36,ambos,medio,1,familia,2.6,1588.0,0
45,perro,alto,0,amigo,4.2,2009.0,1
43,ambos,bajo,0,solo,4.1,1182.0,1
54,ambos,medio,1,amigo,4.0,1447.0,1
43,perro,alto,1,amigo,3.1,1802.0,1
40,gato,medio,1,solo,2.3,1339.0,1
26,ambos,alto,1,solo,1.6,1646.0,1
29,gato,bajo,0,solo,3.0,1885.0,1
18,ambos,medio,1,solo,4.5,2282.0,1
18,gato,medio,0,familia,2.7,2664.0,0
64,perro,alto,0,solo,3.8,,1
51,perro,bajo,1,familia,3.8,2935.0,1
49,perro,alto,0,solo,2.7,2657.0,1
42,ambos,medio,1,solo,4.3,2353.0,1
57,perro,bajo,1,familia,0.1,2108.0,1
62,gato,medio,0,amigo,1.8,2223.0,0
18,gato,medio,1,amigo,2.1,2831.0,1
33,gato,medio,1,solo,2.2,2857.0,1
56,ambos,alto,1,solo,3.3,,1
22,ambos,medio,0,solo,3.3,2029.0,1
39,gato,medio,0,familia,3.4,2388.0,0
46,ambos,medio,1,solo,3.6,2940.0,1
20,ambos,bajo,0,familia,2.0,1563.0,0
29,gato,bajo,0,amigo,1.8,1777.0,0
43,ambos,medio,1,solo,3.4,,1
33,perro,medio,0,amigo,2.4,2630.0,0
54,perro,bajo,1,familia,1.4,2641.0,0
39,ambos,medio,0,familia,4.0,1838.0,1
46,gato,medio,1,solo,4.4,944.0,1
31,ambos,bajo,1,solo,4.6,2172.0,1
45,ambos,medio,0,solo,3.2,1357.0,1
22,perro,bajo,0,solo,3.6,957.0,1
64,ambos,alto,1,amigo,4.4,1115.0,1
47,gato,alto,1,familia,2.4,2228.0,1
63,gato,alto,1,solo,4.1,2953.0,1
22,gato,bajo,0,familia,3.3,,0
29,ambos,alto,0,amigo,3.9,2148.0,1
33,perro,alto,1,solo,3.2,2828.0,1
43,gato,alto,1,solo,4.3,919.0,1
43,gato,bajo,1,familia,3.2,2364.0,1
38,ambos,medio,1,familia,1.5,1992.0,1
56,gato,alto,1,amigo,4.5,,1
53,perro,medio,1,solo,2.1,1662.0,0
50,perro,medio,0,solo,4.3,1427.0,1
47,perro,medio,1,solo,2.9,2098.0,1
54,ambos,medio,1,amigo,4.2,3154.0,1
40,perro,bajo,0,familia,4.1,2603.0,1
27,perro,medio,1,solo,3.4,1645.0,1
22,ambos,bajo,1,familia,3.5,1061.0,1
53,perro,medio,1,amigo,3.4,823.0,1
51,ambos,bajo,1,amigo,1.0,2921.0,0
48,gato,medio,1,familia,3.1,,1
27,ambos,bajo,0,solo,1.9,1772.0,0
36,perro,medio,1,familia,3.2,2925.0,1
49,perro,alto,1,solo,1.9,870.0,0
18,ambos,bajo,1,solo,1.8,,1
22,ambos,bajo,0,familia,4.6,1822.0,1
62,ambos,bajo,0,familia,4.1,1196.0,1
21,perro,alto,1,amigo,3.0,1827.0,1
33,ambos,medio,1,amigo,3.2,1494.0,1
41,ambos,medio,1,familia,2.8,,0
33,gato,bajo,1,familia,3.6,1546.0,1
19,ambos,medio,1,solo,2.3,662.0,0
45,ambos,alto,1,familia,4.0,1846.0,1
49,gato,alto,1,solo,2.7,,1
44,perro,medio,0,solo,2.6,2143.0,1
37,gato,bajo,1,solo,3.0,,1
41,perro,bajo,1,amigo,2.4,1658.0,0
29,gato,bajo,0,familia,3.3,2128.0,1
52,gato,bajo,0,amigo,2.5,1851.0,0
50,perro,bajo,0,familia,3.5,,1
50,perro,bajo,1,solo,4.2,2476.0,1
60,perro,medio,0,familia,2.3,1189.0,0
54,ambos,alto,1,familia,2.9,1955.0,1
29,ambos,medio,1,amigo,3.5,-331.0,1
20,perro,alto,1,amigo,2.6,,0
18,ambos,alto,1,amigo,3.5,1789.0,1
50,gato,bajo,0,familia,3.6,1312.0,0
57,perro,alto,1,familia,4.1,2221.0,1
27,perro,bajo,1,solo,2.4,2821.0,1
60,gato,medio,1,familia,2.1,1667.0,1
61,ambos,medio,0,solo,2.7,1339.0,1
46,ambos,alto,1,solo,2.0,2116.0,1
30,perro,bajo,1,familia,3.6,1065.0,1
29,perro,bajo,1,solo,1.8,1538.0,0
48,gato,alto,1,familia,5.3,2856.0,1
63,perro,bajo,1,solo,4.3,2044.0,1
19,perro,medio,1,solo,3.0,,1
52,perro,alto,1,solo,3.9,742.0,1
40,ambos,alto,1,solo,1.4,,1
34,ambos,alto,0,familia,5.5,,1
43,gato,alto,0,solo,2.4,868.0,0
25,ambos,bajo,0,solo,2.9,2315.0,0
46,perro,alto,0,solo,1.1,2931.0,1
43,gato,medio,0,solo,3.5,3322.0,0
27,perro,medio,1,familia,1.9,2232.0,0
43,gato,bajo,0,solo,3.1,2355.0,0
51,ambos,medio,1,amigo,2.5,,0
58,gato,alto,0,familia,1.9,3470.0,1
24,perro,alto,0,amigo,2.2,1597.0,1
21,gato,medio,0,familia,3.2,1347.0,0
62,perro,bajo,0,solo,1.7,1821.0,1
28,ambos,medio,1,solo,2.3,3058.0,1
46,gato,alto,1,familia,3.7,3546.0,1
53,gato,alto,0,familia,5.6,2088.0,1
42,gato,medio,1,amigo,3.5,2699.0,1
38,gato,bajo,1,amigo,2.1,2030.0,1
53,perro,medio,1,solo,2.6,1274.0,0
27,gato,medio,1,solo,3.0,3034.0,1
54,perro,alto,1,familia,2.7,1565.0,1
26,ambos,medio,1,amigo,3.9,3075.0,1
41,ambos,medio,1,solo,3.2,2909.0,1
52,ambos,medio,0,familia,3.9,2430.0,1
52,gato,bajo,1,solo,2.7,3280.0,1
53,gato,alto,1,solo,4.3,3563.0,1
35,perro,medio,1,familia,2.8,1877.0,0
56,ambos,medio,1,familia,2.0,1434.0,0
49,perro,medio,1,amigo,5.2,695.0,1
41,gato,medio,0,solo,1.2,,1
40,perro,medio,1,solo,2.3,1692.0,0
49,perro,alto,1,amigo,2.4,2795.0,1
54,gato,bajo,1,solo,5.5,1481.0,1
29,perro,medio,1,familia,4.8,3077.0,1
30,ambos,bajo,1,familia,4.5,1510.0,1
40,perro,medio,0,familia,2.7,1166.0,0
42,perro,bajo,1,solo,5.4,1854.0,1
52,gato,medio,1,familia,3.4,1628.0,1
58,perro,alto,1,solo,4.0,,1
47,perro,alto,0,solo,3.2,1964.0,1
34,ambos,medio,1,solo,3.0,2439.0,1
37,perro,medio,1,solo,2.7,1796.0,1
42,ambos,bajo,1,familia,2.8,1534.0,0
39,perro,medio,1,solo,3.6,1592.0,1
30,perro,alto,1,solo,3.4,,1
36,ambos,bajo,0,familia,3.0,,1
53,perro,medio,0,solo,4.5,611.0,1
29,perro,alto,1,familia,0.0,1636.0,1
58,perro,alto,1,solo,3.5,2068.0,1
36,perro,bajo,0,solo,3.7,3292.0,1
29,ambos,medio,0,familia,4.1,2720.0,1
26,perro,bajo,0,solo,2.9,1355.0,0
24,ambos,bajo,1,amigo,3.2,3693.0,1
